44,A Menina que Roubava Livros,Markus Zusak,Ficção histórica,2005,Intrínseca,480
12,1984,George Orwell,Distopia,1949,Secker & Warburg,328
37,O Nome da Rosa,Umberto Eco,Mistério,1980,Harcourt,512
19,O Sol é para Todos,Harper Lee,Drama,1960,J. B. Lippincott & Co.,281
22,Neuromancer,William Gibson,Ficção científica,1984,Ace Books,271
48,A Revolução dos Bichos,George Orwell,Sátira,1945,Secker & Warburg,112
4,A Divina Comédia,Dante Alighieri,Épico,1320,Nenhuma,798
10,Fahrenheit 451,Ray Bradbury,Ficção científica,1953,Ballantine Books,158
25,O Grande Gatsby,F. Scott Fitzgerald,Romance,1925,Charles Scribner's Sons,180
50,Orgulho e Preconceito,Jane Austen,Romance,1813,Thomas Egerton,432
6,Os Miseráveis,Victor Hugo,Épico,1862,A. Lacroix,1511
33,Crime e Castigo,Fiódor Dostoiévski,Psicológico,1866,The Russian Messenger,430
27,O Morro dos Ventos Uivantes,Emily Brontë,Gótico,1847,Thomas Cautley Newby,416
39,Os Irmãos Karamázov,Fiódor Dostoiévski,Drama,1880,The Russian Messenger,824
41,Drácula,Bram Stoker,Horror,1897,Archibald Constable and Company,418
29,Admirável Mundo Novo,Aldous Huxley,Distopia,1932,Chatto & Windus,268
15,It,Stephen King,Terror,1986,Viking Press,1138
36,A Metamorfose,Franz Kafka,Existencialista,1915,Kurt Wolff Verlag,96
7,O Senhor dos Anéis,J.R.R. Tolkien,Fantasia,1954,Allen & Unwin,1178
18,Os Maias,Eça de Queirós,Clássico,1888,Livraria Chardron,704
40,O Hobbit,J.R.R. Tolkien,Fantasia,1937,Allen & Unwin,310
32,Os Três Mosqueteiros,Alexandre Dumas,Aventura,1844,Le Siècle,736
3,Dom Quixote,Miguel de Cervantes,Clássico,1605,Francisco de Robles,982
28,Hamlet,William Shakespeare,Tragédia,1603,Nenhuma,160
14,Um Conto de Natal,Charles Dickens,Ficção,1843,Chapman & Hall,104
21,Memórias Póstumas de Brás Cubas,Machado de Assis,Sátira,1881,Revista Brasileira,160
11,O Código Da Vinci,Dan Brown,Suspense,2003,Doubleday,689
17,A Sangue Frio,Truman Capote,Não ficção,1966,Random House,343
31,A República,Platão,Filosofia,380 a.C.,Nenhuma,300
42,Mulherzinhas,Louisa May Alcott,Clássico,1868,Roberts Brothers,759
26,Anne de Green Gables,Lucy Maud Montgomery,Infantil,1908,L. C. Page & Co.,320
34,Jogador Número 1,Ernest Cline,Ficção científica,2011,Random House,374
13,Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1997,Bloomsbury,223
9,A Guerra dos Tronos,George R. R. Martin,Fantasia,1996,Bantam Spectra,694
24,Cem Anos de Solidão,Gabriel García Márquez,Realismo mágico,1967,Editorial Sudamericana,417
47,A Montanha Mágica,Thomas Mann,Filosofia,1924,S. Fischer Verlag,730
35,O Alquimista,Paulo Coelho,Filosofia,1988,Rocco,208
46,Um Estudo em Vermelho,Arthur Conan Doyle,Mistério,1887,Ward, Lock & Co.,123
38,O Conde de Monte Cristo,Alexandre Dumas,Aventura,1844,Le Journal des Débats,1276
8,Como Era Verde Meu Vale,Richard Llewellyn,Romance,1939,Record,392
43,Biblia Sagrada,Desconhecido,Religioso,Desconhecido,Variado,1500
16,As Crônicas de Nárnia,C.S. Lewis,Fantasia,1956,Geoffrey Bles,767
2,O Pequeno Príncipe,Antoine de Saint-Exupéry,Ficção,1943,Reynal & Hitchcock,96
20,Jane Eyre,Charlotte Brontë,Gótico,1847,Smith, Elder & Co.,500
1,O Livro dos Espíritos,Allan Kardec,Espiritualista,1857,E. Dentu,501
45,A Cabana,William P. Young,Ficção religiosa,2007,Windblown Media,256
30,A História Sem Fim,Michael Ende,Fantasia,1979,Thienemann,496
23,O Lobo da Estepe,Hermann Hesse,Filosofia,1927,S. Fischer Verlag,237
5,Moby Dick,Herman Melville,Aventura,1851,Harper & Brothers,720
49,O Apanhador no Campo de Centeio,J.D. Salinger,Ficção,1951,Little, Brown and Company,277
